ticker,state,action,confidence,triggeredRules,timestamp
AAPL,WAIT,ARM_FOR_SELL,0.76,["price > 50-DMA + gap up"],"2025-12-18T00:32:51.008Z"
AAPL,WAIT,ARM_FOR_BUY,0.7,["price > 50-DMA + gap up"],"2025-12-18T00:34:49.873Z"
TSLA,WAIT,ARM_FOR_SELL,1,["price > 50-DMA + gap down"],"2025-12-18T00:35:28.377Z"
GOOGL,WAIT,ARM_FOR_SELL,0.69,["price > 50-DMA + gap down"],"2025-12-18T00:35:28.378Z"
AAPL,WAIT,ARM_FOR_SELL,1,["price > 50-DMA"],"2025-12-18T00:35:28.377Z"
MSFT,WAIT,WAIT,0.5,["price > 50-DMA"],"2025-12-18T00:35:28.415Z"
GOOGL,WAIT,ARM_FOR_SELL,0.69,["price > 50-DMA + gap down"],"2025-12-18T00:35:30.909Z"
TSLA,WAIT,ARM_FOR_SELL,1,["price > 50-DMA + gap down"],"2025-12-18T00:35:31.004Z"
MSFT,WAIT,WAIT,0.5,["price > 50-DMA"],"2025-12-18T00:35:31.018Z"
AAPL,WAIT,ARM_FOR_SELL,1,["price > 50-DMA"],"2025-12-18T00:35:31.153Z"
AAPL,WAIT,ARM_FOR_SELL,1,["price > 50-DMA"],"2025-12-18T00:36:17.432Z"
MSFT,WAIT,WAIT,0.5,["price > 50-DMA"],"2025-12-18T00:36:17.431Z"
GOOGL,WAIT,ARM_FOR_SELL,0.69,["price > 50-DMA + gap down"],"2025-12-18T00:36:17.431Z"
TSLA,WAIT,ARM_FOR_SELL,1,["price > 50-DMA + gap down"],"2025-12-18T00:36:17.469Z"
MSFT,WAIT,WAIT,0.5,["price > 50-DMA"],"2025-12-18T01:35:39.460Z"
GOOGL,WAIT,ARM_FOR_SELL,0.69,["price > 50-DMA + gap down"],"2025-12-18T01:35:39.460Z"
TSLA,WAIT,ARM_FOR_SELL,1,["price > 50-DMA + gap down"],"2025-12-18T01:35:39.483Z"
AAPL,WAIT,ARM_FOR_SELL,1,["price > 50-DMA"],"2025-12-18T01:35:39.502Z"
TSLA,WAIT,ARM_FOR_SELL,1,["price > 50-DMA + gap down"],"2025-12-18T01:40:36.602Z"
GOOGL,WAIT,ARM_FOR_SELL,0.69,["price > 50-DMA + gap down"],"2025-12-18T01:40:36.601Z"
AAPL,WAIT,ARM_FOR_SELL,1,["price > 50-DMA"],"2025-12-18T01:40:36.601Z"
MSFT,WAIT,WAIT,0.5,["price > 50-DMA"],"2025-12-18T01:40:36.637Z"
